City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Pacific Grove,US,36.6177,-121.9166,66.34,57,0,24.16,clear sky
285,Valente,BR,-11.4122,-39.4619,76.39,75,73,12.35,moderate rain
286,Honningsvag,NO,70.9821,25.9704,17.35,79,100,3.44,overcast clouds
287,Preston,GB,53.7667,-2.7167,55.67,78,93,2.1,overcast clouds
288,Surazh,RU,53.0175,32.3918,24.85,59,92,6.55,overcast clouds
289,Port Blair,IN,11.6667,92.75,80.49,79,30,5.06,scattered clouds
290,Fortuna,US,40.5982,-124.1573,64.92,68,40,5.75,scattered clouds
291,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.04,91,0,3.89,clear sky
292,Ozinki,RU,51.1786,49.6769,17.85,95,49,10.85,scattered clouds
293,Shingu,JP,33.7333,135.9833,55.51,60,100,5.68,overcast clouds
294,Bichura,RU,50.5881,107.6022,22.19,75,100,3.56,overcast clouds
295,San Juan,AR,-31.5375,-68.5364,76.62,19,27,7.7,scattered clouds
296,Lorengau,PG,-2.0226,147.2712,82.44,78,96,6.02,overcast clouds
297,Ust-Maya,RU,60.4167,134.5333,9.48,94,100,3.89,overcast clouds
298,Akureyri,IS,65.6835,-18.0878,20.82,88,99,4.03,overcast clouds
299,Sitka,US,57.0531,-135.33,44.49,70,20,9.22,few clouds
300,Nizhniy Baskunchak,RU,48.2198,46.8311,31.93,71,98,16.96,overcast clouds
301,Dunedin,NZ,-45.8742,170.5036,63.81,78,0,11.01,clear sky
302,Anadyr,RU,64.75,177.4833,1.9,84,75,8.95,light snow
303,Burns Lake,CA,54.2331,-125.7533,38.62,74,100,2.84,overcast clouds
304,Thinadhoo,MV,0.5333,72.9333,81.54,64,19,5.93,few clouds
305,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.78,100,100,6.71,heavy shower snow
306,Contai,IN,21.7786,87.7536,77.04,97,71,8.39,broken clouds
307,Kodinsk,RU,58.6881,99.1844,-0.53,99,50,3.74,scattered clouds
308,Ekhabi,RU,53.5102,142.9671,15.37,86,100,20.49,overcast clouds
309,Sobolevo,RU,54.4299,31.8996,22.66,75,99,6.76,overcast clouds
310,Sabang,ID,5.8933,95.3214,82.62,71,13,3.65,few clouds
311,Chekhov,RU,55.1431,37.4711,21.15,78,89,10.29,overcast clouds
312,Ribeira Grande,PT,38.5167,-28.7,60.08,84,100,13.56,overcast clouds
313,Talas,TR,38.6908,35.5538,23.67,86,0,1.14,clear sky
314,Road Town,VG,18.4167,-64.6167,75.0,73,40,9.69,scattered clouds
315,Wukari,NG,7.85,9.7833,77.79,17,7,4.61,clear sky
316,Nishihara,JP,26.1842,127.7558,63.68,77,75,18.41,broken clouds
317,Isangel,VU,-19.55,169.2667,83.48,69,50,7.74,scattered clouds
318,Wajima,JP,37.4,136.9,46.26,41,96,10.49,overcast clouds
319,Tura,IN,25.5198,90.2201,68.27,61,1,3.83,clear sky
320,Marsh Harbour,BS,26.5412,-77.0636,71.47,51,0,18.3,clear sky
321,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,90,20,10.36,few clouds
322,Vestnes,NO,62.6264,7.0884,42.78,75,75,32.21,light rain
323,Vostok,RU,46.4856,135.8833,24.57,87,100,7.18,overcast clouds
324,Bayangol,RU,50.6977,103.4656,9.32,91,100,4.03,overcast clouds
325,Ingham,US,42.6,-84.3833,25.02,55,40,13.8,scattered clouds
326,Irtyshskiy,RU,58.3333,68.1333,13.77,94,100,12.21,overcast clouds
327,Saskylakh,RU,71.9167,114.0833,-3.41,98,100,3.87,overcast clouds
328,Vallenar,CL,-28.5708,-70.7581,71.38,51,14,1.77,few clouds
329,Xining,CN,36.6167,101.7667,37.38,32,22,2.44,few clouds
330,Asyut,EG,27.181,31.1837,57.29,31,0,8.46,clear sky
331,Staryy Nadym,RU,65.6118,72.6842,12.96,93,100,15.5,overcast clouds
332,Dubti,ET,11.7361,41.0853,82.83,23,51,5.7,broken clouds
333,Oudtshoorn,ZA,-33.5907,22.2014,59.36,33,25,5.59,scattered clouds
334,Touros,BR,-5.1989,-35.4608,80.15,83,66,9.93,broken clouds
335,Qobustan,AZ,40.0824,49.412,50.4,33,1,29.84,clear sky
336,Eatonton,US,33.3268,-83.3885,63.68,47,3,5.79,clear sky
337,Dordrecht,NL,51.81,4.6736,47.98,79,0,1.99,clear sky
338,Krasnovishersk,RU,60.4078,57.082,32.94,98,100,11.52,snow
339,Sinop,TR,41.7711,34.8709,28.94,75,59,7.25,broken clouds
340,Hit,IQ,33.6416,42.8251,51.62,53,0,10.74,clear sky
341,Xiaoshi,CN,41.2971,124.1209,43.09,24,0,6.08,clear sky
